image_id,video_id,label_studio_id,exist,colour,rotation,occlusion,synthetic,players,original,origid,shuttle_exist,gender,background_colour,test
6,0,1,Yes,Red,No,No,No,2,Yes,1,Yes,Men,Grey,False
10,0,2,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
12,0,3,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
14,0,4,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
15,0,5,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
18,0,6,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
20,0,7,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
23,0,8,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
26,0,9,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
28,0,10,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
29,0,11,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
30,0,12,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
31,0,13,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
34,0,14,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
38,0,15,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
40,0,16,Yes,Red,No,No,No,2,No,1,No,Men,Grey,False
46,0,17,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
47,0,18,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
49,0,19,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
50,0,20,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
52,0,21,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
57,0,22,Yes,Red,No,No,No,2,No,1,Yes,Men,Grey,False
73,1,23,Yes,Green,No,No,No,2,Yes,23,Yes,Men,Blue,False
74,1,24,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
75,1,25,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
81,1,26,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
82,1,27,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
83,1,28,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
84,1,29,Yes,Green,No,No,No,2,No,23,No,Men,Blue,False
87,1,30,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
88,1,31,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
89,1,32,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
91,1,33,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
92,1,34,Yes,Green,No,No,No,2,No,23,No,Men,Blue,False
94,1,35,Yes,Green,No,No,No,2,No,23,No,Men,Blue,False
95,1,36,Yes,Green,No,No,No,2,No,23,No,Men,Blue,False
96,1,37,Yes,Green,No,No,No,2,No,23,No,Men,Blue,False
98,1,38,Yes,Green,No,No,No,2,No,23,Yes,Men,Blue,False
109,2,39,Yes,Green,No,No,No,2,Yes,39,Yes,Men,Blue,False
115,2,40,Yes,Green,No,No,No,2,No,39,Yes,Men,Blue,False
117,2,41,Yes,Green,No,No,No,2,No,39,No,Men,Blue,False
119,2,42,Yes,Green,No,No,No,2,No,39,No,Men,Blue,False
123,2,43,Yes,Green,No,No,No,2,No,39,Yes,Men,Blue,False
130,2,44,Yes,Green,No,No,No,2,No,39,Yes,Men,Blue,False
153,3,46,Yes,Green,No,No,No,2,Yes,46,No,Men,Blue,False
154,3,47,Yes,Green,No,No,No,2,No,46,No,Men,Blue,False
155,3,48,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
156,3,49,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
159,3,50,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
161,3,51,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
173,3,54,Yes,Green,No,No,No,2,No,46,No,Men,Blue,False
177,3,55,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
179,3,56,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
180,3,57,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
182,3,58,Yes,Green,No,No,No,2,No,46,Yes,Men,Blue,False
190,4,59,Yes,Red,No,No,No,2,Yes,59,Yes,Men,Grey,True
192,4,60,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
193,4,61,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
197,4,62,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
199,4,63,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
202,4,64,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
204,4,65,Yes,Red,No,No,No,2,No,59,No,Men,Grey,True
206,4,66,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
207,4,67,Yes,Red,No,No,No,2,No,59,Yes,Men,Grey,True
224,5,68,Yes,Green,No,No,No,2,Yes,68,Yes,Men,Violet,False
226,5,69,Yes,Green,No,No,No,2,No,68,No,Men,Violet,False
