image_id,split,group
001.png,val,g0205
002.png,val,g0205
003.png,train,g0206
004.png,train,g0206
005.png,train,g0207
006.png,train,g0208
007.png,train,g0209
008.png,train,g0210
009.png,train,g0211
010.png,val,g0212
011.png,train,g0213
012.png,val,g0214
013.png,train,g0215
014.png,train,g0216
015.png,train,g0216
016.png,train,g0217
017.png,train,g0218
018.png,train,g0219
019.png,train,g0219
020.png,train,g0220
021.png,train,g0221
022.png,train,g0222
023.png,train,g0223
024.png,train,g0224
025.png,train,g0225
026.png,train,g0226
027.png,train,g0226
028.png,train,g0227
029.png,train,g0227
030.png,train,g0228
031.png,train,g0228
032.png,train,g0229
033.png,train,g0230
034.png,train,g0231
035.png,train,g0231
036.png,train,g0232
037.png,train,g0232
038.png,train,g0233
039.png,train,g0233
040.png,train,g0234
041.png,train,g0235
042.png,train,g0236
043.png,train,g0237
044.png,train,g0237
045.png,train,g0238
046.png,train,g0239
047.png,train,g0239
048.png,train,g0240
049.png,train,g0241
050.png,train,g0241
051.png,train,g0241
052.png,train,g0242
053.png,train,g0242
054.png,train,g0242
055.png,train,g0242
056.png,train,g0242
057.png,train,g0243
058.png,train,g0243
059.png,train,g0243
060.png,train,g0243
061.png,train,g0243
062.png,train,g0243
063.png,train,g0244
064.png,train,g0244
065.png,train,g0244
066.png,train,g0244
067.png,train,g0244
068.png,train,g0244
069.png,train,g0244
070.png,train,g0244
071.png,train,g0245
072.png,train,g0245
073.png,train,g0245
074.png,train,g0245
075.png,train,g0245
076.png,train,g0245
077.png,train,g0245
078.png,train,g0245
079.png,train,g0245
080.png,train,g0245
081.png,val,g0246
082.png,val,g0246
083.png,val,g0246
084.png,val,g0246
085.png,val,g0246
086.png,val,g0246
087.png,val,g0246
088.png,val,g0246
089.png,val,g0246
090.png,val,g0246
091.png,val,g0246
092.png,val,g0246
093.png,val,g0246
094.png,val,g0246
095.png,val,g0246
096.png,val,g0246
097.png,val,g0246
098.png,train,g0247
099.png,train,g0247
100.png,train,g0247
101.png,train,g0247
102.png,train,g0247
103.png,train,g0247
104.png,train,g0247
105.png,train,g0247
106.png,train,g0247
107.png,train,g0248
108.png,train,g0249
109.png,train,g0250
110.png,train,g0251
111.png,train,g0251
112.png,train,g0251
113.png,train,g0252
114.png,train,g0253
115.png,train,g0253
116.png,train,g0253
117.png,train,g0253
118.png,train,g0254
119.png,train,g0254
120.png,train,g0254
121.png,train,g0255
122.png,train,g0256
123.png,val,g0257
124.png,val,g0257
125.png,val,g0257
126.png,val,g0257
127.png,val,g0257
128.png,val,g0257
129.png,val,g0257
130.png,val,g0257
131.png,val,g0257
132.png,val,g0257
